objid,u,g,r,i,z,class,redshift
1237662336794558856,18.76013,17.33232,16.67174,16.28154,16.00945,GALAXY,0.0967931
1237668311090462857,19.23512,17.42926,16.52957,16.06841,15.69726,GALAXY,0.05330116
1237651736317067498,19.2532,18.15511,17.69188,17.37001,17.24129,GALAXY,0.08129776
1237665441533329633,19.45817,17.54099,16.39164,15.92725,15.54947,GALAXY,0.1395945
1237665441533395139,19.00673,17.65575,16.88216,16.48019,16.21619,GALAXY,0.1389978
1237655502424244620,18.85621,16.91045,16.01786,15.59393,15.27524,GALAXY,0.08514944
1237668365312196650,17.49679,16.42378,15.99228,15.72763,15.47826,GALAXY,0.02846681
1237667783392821500,19.03856,18.17619,17.53119,17.05532,16.85166,GALAXY,0.1163299
1237655498677289265,19.51319,18.2676,17.78509,17.37141,17.24641,GALAXY,0.09023942
1237659326569644108,18.02081,17.04268,16.64962,16.46637,16.38696,STAR,-0.0008319526
1237651822179975355,19.51214,18.21932,17.61377,17.18323,16.97716,GALAXY,0.09777292
1237668354038956701,18.98891,17.32948,16.63518,16.37402,16.21083,STAR,-0.0003366948
1237662301911515437,19.59071,17.64907,16.67399,16.23788,15.89416,GALAXY,0.09795132
1237655129307218237,19.17062,17.51668,16.64808,16.24206,15.92248,GALAXY,0.1094045
1237662641732518177,19.47339,17.73356,16.98276,16.61792,16.35343,GALAXY,0.05156278
1237668354575892829,18.97194,18.73664,18.30121,18.08489,17.5328,QSO,0.320796
1237662695964344472,19.56207,18.18103,17.38155,16.92793,16.64762,GALAXY,0.1167152
1237671936043843635,19.43621,17.4773,16.57858,16.15447,15.80412,GALAXY,0.08495321
1237667782855819354,18.11887,17.18723,16.88664,16.76735,16.75604,STAR,-0.0006687046
1237665532258484301,18.87806,17.36148,16.97422,16.61528,16.46153,GALAXY,0.04571867
1237665535467061581,18.76112,17.57712,16.99124,16.61366,16.38085,GALAXY,0.08952726
1237665533332226425,18.49995,17.28671,16.5566,16.16174,15.92627,GALAXY,0.09956408
1237661387619762457,18.99201,17.04416,16.08994,15.65257,15.30775,GALAXY,0.08606523
1237665533332291750,17.4538,16.45051,16.11099,15.85268,15.69132,GALAXY,0.04733586
1237662640658645239,18.51253,17.21061,16.92969,16.82632,16.77648,STAR,-0.0001034045
1237655504571728358,18.48771,16.79334,15.97509,15.52141,15.20577,GALAXY,0.05661589
1237655373576798224,17.86644,16.69341,16.31471,16.18071,16.16325,STAR,-0.0002257307
1237662303522128246,17.69344,16.54152,16.07674,15.69617,15.55724,GALAXY,0.08170169
1237655473434722500,18.52934,17.01146,16.38685,16.13128,16.01432,STAR,-0.0001690749
1237662473695592724,19.17208,17.99175,17.5494,17.42088,17.41026,STAR,-6.154512E-05
1237659324958835049,18.75361,17.33499,16.63701,16.2405,15.97666,GALAXY,0.06647012
1237662637446529227,19.48196,18.01234,17.35629,16.98438,16.76218,GALAXY,0.04468575
1237668350291804534,18.46837,17.38136,17.03468,16.82259,16.70756,GALAXY,0.03477678
1237665531721613343,16.02232,15.42025,15.23223,15.14052,15.02931,GALAXY,0.01128462
1237666244670062838,18.48742,17.1585,16.56547,16.69816,22.82665,STAR,7.436766E-05
1237665566079385681,17.82606,16.94632,16.65913,16.51319,16.53977,STAR,-0.0004955822
1237648704598638661,19.17456,18.96259,18.74703,18.85753,18.8141,QSO,0.9579745
1237654880207962301,19.4942,18.06228,17.26399,16.82369,16.51439,GALAXY,0.08376107
1237665548362055834,17.70601,16.76752,16.11498,15.65995,15.37133,QSO,0.0483251
1237665565005578545,19.54338,17.85933,16.84114,16.37617,16.0361,GALAXY,0.1491899
1237662474769334364,18.74845,17.72947,17.3235,17.2208,17.20364,STAR,-0.0006967368
1237665429180907961,18.75651,17.53601,17.11502,16.8703,16.71151,GALAXY,0.03678564
1237668352965083379,18.03279,16.12441,15.30434,14.9708,14.80091,STAR,-8.335168E-05
1237662500547068188,19.53467,17.5376,16.5345,16.10413,15.75431,GALAXY,0.09780964
1237665548362055842,16.70708,15.77985,15.45476,15.33239,15.31289,STAR,-0.0002703279
1237665548898926820,19.16271,18.00117,17.61443,17.36146,17.31395,GALAXY,0.07173812
1237651736316870866,19.37378,17.29213,16.2646,15.78721,15.37711,GALAXY,0.08883283
1237662696501084506,18.79687,17.63855,17.21058,16.94102,16.73569,GALAXY,0.04565728
1237662661606965823,19.52551,18.20563,17.63958,17.29752,17.12153,GALAXY,0.0719991
1237665565542449298,19.46171,17.83581,16.98595,16.52462,16.21008,GALAXY,0.07969818
1237654879671025957,19.15191,19.0096,18.8113,18.71753,18.78302,QSO,1.422584
1237655374650474593,18.93427,17.94308,17.83475,17.82649,17.85426,STAR,-0.0009080465
1237662636372656285,17.00459,15.76313,15.09735,14.75891,14.46177,GALAXY,0.0339201
1237659152608788758,17.42757,16.04015,15.24666,14.80847,14.52563,GALAXY,0.09840323
1237655498677092648,18.61865,16.68226,15.71212,15.2266,14.81547,GALAXY,0.03784921
1237662475306139948,18.01902,16.71238,16.0415,15.65011,15.40645,GALAXY,0.0824237
1237666246280807650,16.30464,16.48703,16.88098,17.21412,17.14204,STAR,-6.109855E-05
1237665428643971294,19.50762,17.54659,16.59475,16.15127,15.76901,GALAXY,0.0940418
1237662619189510556,19.42063,17.41796,16.44058,15.97339,15.57946,GALAXY,0.0545645
1237659154219401616,19.39244,17.37167,16.37725,15.92809,15.56052,GALAXY,0.09801868
